,date,state,cases,deaths,mental disorder,frequency of mental disorder
0,4/23/2020,Alabama,5832,197,Symptoms of Depressive Disorder,18.6
1,4/23/2020,Alabama,5832,197,Symptoms of Anxiety Disorder,25.6
2,4/23/2020,Alabama,5832,197,Symptoms of Anxiety Disorder or Depressive Disorder,30.3
3,4/23/2020,Alaska,335,7,Symptoms of Depressive Disorder,19.2
4,4/23/2020,Alaska,335,7,Symptoms of Anxiety Disorder,27.7
5,4/23/2020,Alaska,335,7,Symptoms of Anxiety Disorder or Depressive Disorder,31.5
6,4/23/2020,Arizona,5769,257,Symptoms of Depressive Disorder,22.4
7,4/23/2020,Arizona,5769,257,Symptoms of Anxiety Disorder,32.3
8,4/23/2020,Arizona,5769,257,Symptoms of Anxiety Disorder or Depressive Disorder,36.4
9,4/23/2020,Arkansas,2599,45,Symptoms of Depressive Disorder,26.6
10,4/23/2020,Arkansas,2599,45,Symptoms of Anxiety Disorder,33.7
11,4/23/2020,Arkansas,2599,45,Symptoms of Anxiety Disorder or Depressive Disorder,38.0
12,4/23/2020,California,39534,1548,Symptoms of Depressive Disorder,25.4
13,4/23/2020,California,39534,1548,Symptoms of Anxiety Disorder,30.8
14,4/23/2020,California,39534,1548,Symptoms of Anxiety Disorder or Depressive Disorder,37.4
15,4/23/2020,Colorado,11262,557,Symptoms of Depressive Disorder,22.0
16,4/23/2020,Colorado,11262,557,Symptoms of Anxiety Disorder,32.6
17,4/23/2020,Colorado,11262,557,Symptoms of Anxiety Disorder or Depressive Disorder,35.9
18,4/23/2020,Connecticut,23100,1639,Symptoms of Depressive Disorder,24.4
19,4/23/2020,Connecticut,23100,1639,Symptoms of Anxiety Disorder,34.9
20,4/23/2020,Connecticut,23100,1639,Symptoms of Anxiety Disorder or Depressive Disorder,40.2
21,4/23/2020,Delaware,3308,92,Symptoms of Depressive Disorder,21.1
22,4/23/2020,Delaware,3308,92,Symptoms of Anxiety Disorder,29.9
23,4/23/2020,Delaware,3308,92,Symptoms of Anxiety Disorder or Depressive Disorder,34.7
24,4/23/2020,District of Columbia,3361,139,Symptoms of Depressive Disorder,26.4
25,4/23/2020,District of Columbia,3361,139,Symptoms of Anxiety Disorder,31.4
26,4/23/2020,District of Columbia,3361,139,Symptoms of Anxiety Disorder or Depressive Disorder,37.6
27,4/23/2020,Florida,29640,986,Symptoms of Depressive Disorder,22.5
28,4/23/2020,Florida,29640,986,Symptoms of Anxiety Disorder,32.6
29,4/23/2020,Florida,29640,986,Symptoms of Anxiety Disorder or Depressive Disorder,36.8
